ID,Name,Age,Gender,Email,Phone_Number,City,Department,Salary,Joining_Date,Experience_Years,Performance_Score,Manager_ID,Work_Location,Bonus_Percentage,Remote_Onsite
15226,Christopher Cooper,35,Female,marshallalbert@yahoo.com,(670)311-7557,delhi,Finance,134548,2018-09-26,19.0,4,10038.0,,29.0,remote
16222,Monique Cook,55,male,apugh@gmail.com,234.635.4082x203,Hyderabad,hr,41937,2016-12-27,17.0,4,10090.0,Chennai,26.0,Remote
19369,Lauren Rollins,42,Male,louis14@hill-archer.com,563.159.5372,Chennai,hr,41701,2018-08-02,19.0,1,10078.0,Mmbai,0.0,Onsite
14616,Joseph Figueroa,26,male,christopher22@cooper-adams.com,001-948-948-0463x57907,,,116976,2020-10-18,6.0,4,10092.0,Mumbai,-10.0,remote
17137,David Beard,42,male,washingtonteresa@ball.com,523-306-0577x12136,delhi,IT ,36695,2022-11-17,2.0,5,10079.0,Chennai,20.0,onsite
11547,Jeffrey Mckay,39,M,florescassandra@williams.com,(960)329-0261x5130,Mumbai,hr,78712,05/02/2023,20.0,4,10038.0,Chennai,4.0,Hybrid
10542,Brooke Fritz MD,forty-five,Unknown,hyoung@gmail.com,658-970-2119,Bangalor,Operations,126086,2017-03-31,3.0,4,10079.0,Mmbai,-10.0,
14653,Karen Morales,43,Female,njohnson@cherry-robles.biz,(461)430-2372x438,Delhi,sales,129413,2021-01-04,7.0,Excellent,10027.0,Hyderabad,14.0,onsite
12801,Christopher Thompson,47,,gomezjohn@gmail.com,2283057006,mumbai,HR,136662,2019-05-01,6.0,Poor,10065.0,Mumbai,7.0,onsite
10930,Aaron Todd,54,Female,mariahserrano@alvarez.com,060-399-6564x4890,Bangalor,Sales,73524,2020-07-21,20.0,1,10004.0,,26.0,Remote
18531,Cathy Romero,53,F,carol93@outlook.com,682.545.0724,,IT ,133575,2021-10-24,19.0,5,10052.0,Delhi,12.0,onsite
13724,Anthony Wells,41,F,thomasramos@hotmail.com,001-634-448-4730x799,mumbai,HR,43226,2023-13-40,7.0,Excellent,10089.0,Mmbai,28.0,
18972,Joseph Trujillo,64,Male,jonathanwalker@hotmail.com,282.321.8212,Bangalor,sales,143699,2017-06-11,30.0,5,10011.0,Bangalor,22.0,remote
17142,Jeanette Hoffman,29.2,Unknown,kevin07@yahoo.com,4108525365,Bangalor,Operations,83094,2026-02-02,19.0,,10013.0,Bangalore,2.0,Onsite
18029,Victoria Rosario,53,male,sbarker@gmail.com,001-180-544-8092,Chennai,,80996.41,2016-05-26,3.0,5,10068.0,Delhi,,remote
11990,Kevin Alvarado,38,F,medinajennifer@martinez.com,9969755508,delhi,IT ,74387,2020-03-06,11.0,2,10097.0,Mmbai,29.0,
15654,Heather Villanueva,57,female,bryan90@gmail.com,6917618233,Mmbai,IT ,66040,2025-09-14,12.0,,10045.0,Bangalor,25.0,remote
10800,Taylor Anderson,32,Female,,698.128.8902x4098,Mmbai,sales,135295,2024-11-06,13.0,4,10095.0,Bangalore,19.0,Remote
10737,Lynn Bauer,35,Female,jacksonlauren@adams.com,(108)627-3482x999,Hyderabad,Financ,144878,2019-10-18,15.0,5,10046.0,Bangalore,0.0,
13667,Cheryl Hansen,27,Male,tcabrera@yahoo.com,(497)744-6384,Mmbai,IT ,,2018-06-23,9.0,3,10062.0,Bangalor,11.0,Hybrid
10593,Anthony Edwards,26,female,vaguilar@yahoo.com,001-019-194-2744x70938,Bangalore,Marketing,63888,2017-07-19,7.0,4,10022.0,Delhi,16.0,remote
14998,Jessica Hatfield,37,male,christopherwoods@smith.net,485-677-8555x447,Bangalor,hr,117680,2016-06-02,10.0,Excellent,10030.0,Delhi,8.0,onsite
11504,Tina Arias,25,Male,roweryan@yahoo.com,001-096-593-0054,,Operations,145860,2018-03-14,30.0,Poor,10005.0,,14.0,Remote
14559,Shelly Garner,44,male,laurale@jones.com,952.588.8150,,Finance,96104,2018-07-14,0.0,1,10014.0,,8.0,Remote
14958,Matthew Norris,21,Female,christopher12@gmail.com,001-835-595-9448x01289,Mmbai,sales,69413,2023-03-18,18.0,Good,10047.0,Delhi,2.0,remote
17008,Jessica Hopkins,39,male,wilsonjessica@hall.com,+1-439-214-2662x718,Chennai,hr,106614,2024-09-27,15.0,1,10022.0,Bangalore,-10.0,Remote
14933,Brittany Jackson,30,F,brenda40@edwards.com,551.542.8125,Mumbai,IT ,123897,2023-09-09,9.0,Poor,10067.0,Mumbai,26.0,remote
11659,Joseph Hall,29,M,erin75@allen-gibson.com,+1-464-216-4996,Mumbai,Finance,39370,04/01/2026,4.0,Good,10036.0,Hyderabad,12.0,onsite
18617,Breanna Woodard,18,Unknown,kimberly17@atkins.com,780-665-8579x198,Bangalore,Financ,92758,2023-02-15,14.0,5,10001.0,Bangalor,18.0,Hybrid
10589,Gregory Tanner,twenty,male,ffreeman@hotmail.com,4666519027,Mmbai,Marketing,126761,2025-01-25,7.0,Excellent,10097.0,Bangalore,11.0,Hybrid
15940,Dawn Reilly,59,Unknown,mking@mayo-mcdaniel.org,,Mumbai,Sales,113819,2021-07-08,15.0,Excellent,10087.0,,90.0,onsite
12945,Nancy Orr,34,Female,jonathanyates@smith-potts.org,144-807-8150x766,mumbai,HR,93125,2020-01-01,5.0,Poor,10069.0,Bangalore,13.0,
16042,Kenneth Wilson,51,M,bbarnett@hotmail.com,+1-593-892-0672x32444,delhi,HR,87129,2022-12-05,20.0,2,10065.0,Bangalore,16.0,remote
18941,Nancy Blake,57,female,wmunoz@gmail.com,(140)547-2045x9160,Mumbai,hr,73540,2019-06-27,13.0,5,10063.0,Chennai,2.0,Remote
14570,Susan Beck,61,F,davidgonzalez@yahoo.com,825.537.6442x455,Chennai,Marketing,114235,2019-10-11,50.0,Poor,10066.0,Hyderabad,3.0,Remote
16197,Ruth Clark,42,M,abc@,+1-614-499-8700,Mmbai,Operations,95339,2020-10-30,6.0,,10066.0,Chennai,23.0,Onsite
15520,Franklin Miller,20,,dmiranda@yahoo.com,+1-758-307-8195x44717,mumbai,IT,143661,2023-02-15,10.0,2,10002.0,Mumbai,10.0,remote
15381,Gregory White,43,male,sarah37@hotmail.com,12345,Chennai,IT ,1393046,2025-01-27,2.0,1,10063.0,Mmbai,24.0,remote
19488,Gene Klein,51,Male,hortonjohnny@yahoo.com,0097003540,Delhi,Operations,71212,2024-02-19,11.0,2,10030.0,Mumbai,24.0,
16789,Robert Martin,53,male,ethangrant@elliott-lee.com,(370)071-5745x6140,delhi,sales,61526,2020-10-01,6.0,Good,10019.0,Mumbai,3.0,
15773,William Schroeder,22,male,tammysummers@walton.biz,001-892-481-9027,Delhi,Sales,70341,2023-05-28,2.0,Poor,10072.0,Hyderabad,28.0,Remote
10419,Ryan Schmidt,39,M,hoffmanandrea@yahoo.com,+1-983-168-3159x1958,Chennai,HR,1415005,2016-06-13,7.0,3,10023.0,,16.0,Onsite
18417,Amber Cooper,49,male,bartonjulia@reese.com,+1-457-357-5816x1109,,HR,136808,2017-09-01,9.0,Excellent,10049.0,Mumbai,22.0,Remote
15004,Ashley Gonzalez,61,male,christopher30@hotmail.com,452.374.7557,Delhi,,112837,2022-12-03,10.0,Excellent,10055.0,Bangalor,5.0,Remote
18143,Spencer Thomas,47,,tspencer@warner.com,(410)089-7987,Hyderabad,Financ,83044,2017-10-05,10.0,2,10057.0,Mmbai,22.0,remote
19271,Sean Jackson,21,M,whernandez@gmail.com,218-397-3839x790,mumbai,,134912,2024-02-03,20.0,2,10046.0,Mmbai,0.0,Hybrid
14714,David Moore PhD,55,M,rollinsmatthew@taylor.net,001-136-103-7383x183,Mmbai,sales,37498,2023-02-23,-3.0,,10008.0,Hyderabad,2.0,Onsite
19984,Kimberly Webb,58,Male,thorntonjennifer@martinez.com,347-553-3645,,hr,124706,2023-13-40,18.0,,10028.0,Bangalor,20.0,onsite
12489,Aaron Keller,18,female,carla06@yahoo.com,252-735-8003,Mmbai,Financ,80118,2016-05-07,5.0,Good,10088.0,Mmbai,14.0,Onsite
13911,Jacob Wallace,37,male,cynthia84@yahoo.com,380.386.3962,Mumbai,Sales,115538,2018-05-22,2.0,,10045.0,Delhi,8.0,remote
17475,Todd Wolf,22,Female,ugutierrez@hotmail.com,001-547-569-6862,delhi,,47257,2024-10-22,25.0,4,10038.0,Bangalor,16.0,remote
17791,John Young,42,female,juan56@gmail.com,436.407.0469x206,mumbai,Marketing,56956,2022-07-29,2.0,3,10029.0,Mmbai,2.0,Hybrid
19703,Christopher Sullivan,37,female,matthew13@yahoo.com,3914418384,Mmbai,HR,94175,2021-06-03,1.0,3,10093.0,Chennai,6.0,Onsite
17980,Amy Lowe,44,M,duartemichael@hotmail.com,726.774.4744x66221,Bangalore,Sales,36021,2018-01-15,20.0,Poor,10013.0,Mumbai,25.0,
11179,Robert Holder,24,female,jtucker@johnson-clayton.com,(717)249-5650x461,Hyderabad,IT,117941,2022-08-18,12.0,3,10052.0,Bangalore,10.0,
11220,Cynthia Mcclure,33,,htran@watson-patrick.com,001-416-887-1492,Chennai,Sales,89055,2025-09-15,5.0,Poor,10055.0,Mumbai,94.0,
17156,Krystal Rangel,38,,cannoneddie@test.net,,Bangalor,IT ,57995,2017-06-05,14.0,,10079.0,Mumbai,24.0,Hybrid
18518,Bryan Stewart,28,M,bharris@yahoo.com,+1-599-274-3824,Bangalore,HR,65212,2018-02-11,4.0,1,10064.0,Bangalor,30.0,Onsite
19687,Fernando Andersen,55,,sarah21@watkins.org,(331)582-7768x14731,Bangalore,IT,134505,2024-09-06,4.0,3,10087.0,Bangalore,21.0,
15926,Sydney Mcgee,18,Unknown,tracy36@nelson.com,001-057-502-2149,Mumbai,HR,118131,2019-04-14,19.0,5,10017.0,Bangalor,8.0,onsite
11659,John Gutierrez,65,Unknown,bramos@gmail.com,158.252.2753x07217,Bangalor,Marketing,113450,2016-04-02,7.0,Poor,10033.0,Hyderabad,14.0,Remote
18827,Haley Roberts,34,female,hoffmancatherine@merritt-morgan.info,943.821.3913,Bangalore,Sales,102038,"Sep 03, 2021",17.0,Poor,10074.0,Hyderabad,21.0,remote
11636,Tara Perkins,37,Unknown,leah52@morton.com,0166015121,,HR,32201,2021-06-03,2.0,3,10036.0,Bangalor,4.0,
16021,Dr. Phillip Austin,20,female,richardjones@gmail.com,368.326.6659x394,Mumbai,Sales,93125,"Oct 27, 2024",15.0,3,10061.0,Hyderabad,30.0,Onsite
11758,Christian Gibson,46,F,cynthia90@gmail.com,+1-432-085-9922x4557,Mmbai,IT,42268,2020-07-10,20.0,Poor,10062.0,Bangalor,11.0,onsite
12408,Patricia Rios,18,F,trevorallen@yahoo.com,205-940-0795x12366,,hr,103645,2024-12-11,20.0,4,10002.0,Chennai,13.0,onsite
17815,Robert Mcconnell,62,,jennifer83@yahoo.com,928.843.6192,Mmbai,Marketing,137434,2021-06-14,6.0,3,10030.0,Mmbai,5.0,onsite
18833,Sara Thornton,200,Female,thomascurry@yahoo.com,499.396.5443,,Financ,72853,2018-04-24,20.0,,10091.0,Hyderabad,0.0,remote
16327,Patrick Fleming,43,Unknown,sfowler@yahoo.com,116.740.0389,,sales,91130,2020-05-08,0.0,3,10035.0,,7.0,onsite
13443,Andrew Frank,25,female,sandra77@smith-williams.com,317-821-3445x06961,Delhi,HR,31063,2017-10-08,4.0,5,10083.0,Mmbai,20.0,Hybrid
19666,Arthur Graham,42,,pperez@williams-robbins.net,(670)459-4164x093,Chennai,Finance,42135,2025-06-25,0.0,Good,10054.0,Mmbai,14.0,Hybrid
13066,Christopher Espinoza,43,M,lharris@conner.com,+1-568-532-6802x27102,Mmbai,IT ,62223,2016-07-27,0.0,Excellent,10065.0,Chennai,16.0,remote
16905,Lee Armstrong,29,,rduffy@keller.biz,546-269-5463x58822,Bangalor,HR,66249,2021-05-28,5.0,Poor,10054.0,Delhi,8.0,onsite
16094,Michael Harris,37,F,enelson@weaver.com,131.695.0583x59102,mumbai,hr,132073,2023-13-40,10.0,5,10033.0,Bangalore,13.0,
18205,Valerie Hull,29,male,ajones@yahoo.com,001-791-540-8931x48504,delhi,Financ,146249,2022-09-17,10.0,1,10058.0,,61.0,
14457,Michael Hines,49,M,aochoa@hotmail.com,747-287-0334x004,mumbai,hr,62160,2017-09-22,15.0,Poor,10041.0,,27.0,Remote
18932,Debra Cooper,63,Female,shieldsmelissa@jackson.info,001-195-656-3439x170,,HR,50043,2018-08-07,10.0,5,10020.0,Bangalor,22.0,Hybrid
11989,Justin Morris,33,F,mcmahonbenjamin@gmail.com,001-814-901-8486x5033,Bangalor,,124031,2017-11-04,3.0,4,10055.0,Chennai,12.0,onsite
14200,Nancy Rodriguez,28,male,jonesjohn@gmail.com,001-042-573-2333x65108,Bangalore,HR,74405,2018-04-14,19.0,5,10041.0,,27.0,Remote
14743,Barbara Larson,60,Unknown,taylorgibson@johnson.org,(585)881-2168x1896,Mumbai,IT ,96507,2017-08-22,2.0,Good,10037.0,,8.0,remote
10164,Courtney Martin,60,male,taylornguyen@schwartz.com,423.665.8729,delhi,HR,56290,2025-11-24,9.0,5,10052.0,Bangalor,,
10649,Jamie Landry,39,F,ujohnson@jones-pham.com,172.833.6334x7951,Bangalore,IT,38600,2023-12-19,18.0,2,10066.0,Bangalore,0.0,remote
17351,Anthony Forbes,44,,harrellyolanda@gmail.com,413.624.2168,Bangalore,Sales,121479,2019-05-05,10.0,4,10027.0,Mumbai,19.0,remote
18362,Catherine Jackson,22,,davidsondustin@gmail.com,001-280-951-1849x310,Chennai,IT ,,2023-08-04,16.0,2,10003.0,Bangalore,25.0,Remote
15358,Angela Morales,56,M,ramirezcassie@harper.com,001-681-874-2023,Chennai,Financ,80787,2024-12-07,17.0,Poor,10093.0,Mumbai,11.0,Onsite
14347,Jeffrey Collins,36,Female,linda43@hotmail.com,925-870-1513,,Finance,,2023-05-17,12.0,5,10057.0,Mumbai,20.0,Hybrid
13592,Alexander Rodriguez,33,Female,kimberly70@greene.com,263.154.1235,,IT ,51372,2019-12-24,20.0,,10040.0,Chennai,28.0,
15334,Amy Roberts,36,Male,heather39@chang-blankenship.com,6322219396,Chennai,Financ,109212,2020-09-13,14.0,Good,10027.0,Chennai,26.0,Onsite
12420,Samantha Myers,53,,owilliams@washington-harris.com,673.284.4850x39449,Bangalore,HR,79306,2017-04-16,4.0,Excellent,10029.0,Mmbai,29.0,Remote
16080,Erika Clements,46,male,marc90@rodriguez-bauer.com,402.056.1514x722,delhi,Financ,139853.51,2020-09-30,6.0,3,10092.0,Delhi,29.0,
18348,Nancy Wilson,25,M,hdaniel@gmail.com,001-423-014-0709,Mmbai,HR,59191,2018-01-15,8.0,4,10090.0,Hyderabad,30.0,remote
15580,Megan Cohen,43,female,rodriguezterrence@reid.com,001-793-316-3856x774,Mumbai,IT,52396,2018-11-16,13.0,Poor,10073.0,Hyderabad,27.0,onsite
14567,Daniel Cameron,40,M,andrearuiz@gmail.com,001-769-702-5040x29599,mumbai,Sales,₹102348,2019-02-12,16.0,Excellent,10049.0,Mmbai,5.0,
19139,Regina Miller,60,Male,gary49@garza-green.com,+1-920-412-8892,mumbai,sales,124293,2024-07-15,12.0,5,10077.0,Mmbai,16.0,
10867,Robert Delgado,43,,brooksjames@davidson.com,+1-484-540-4421,delhi,,76862,2016-06-09,14.0,Poor,10021.0,Mumbai,15.0,Remote
10193,Joshua Franklin,50,Female,mdudley@stewart-anderson.com,433-914-8945,Chennai,IT ,102289,2020-10-08,8.0,3,10070.0,Mumbai,11.0,Hybrid
15163,Jessica Alexander,48,male,ricky16@yahoo.com,(625)574-5029x911,Mmbai,,87937,"Jan 16, 2021",17.0,5,10031.0,Mumbai,15.0,onsite
16976,Cassandra Duran,42,Unknown,maureen06@jones.info,(336)783-8874,Chennai,IT,45184,2017-04-07,5.0,1,10047.0,Chennai,26.0,Hybrid
10006,Johnny Myers,27.4,Female,gonzalezalexandra@yahoo.com,536-724-5373x713,,IT,43200,2022-11-18,15.0,Poor,10064.0,Chennai,2.0,onsite
13781,Anna Chan,18,Male,millerchristopher@rice.biz,886-586-5838x7496,Mmbai,Sales,100000,2023-03-20,4.0,Excellent,10085.0,Mumbai,18.0,Onsite
19333,Harold Martinez,43,F,brianmartin@gmail.com,(978)877-1097,mumbai,Marketing,65421,2020-04-02,0.0,2,10092.0,Bangalor,19.0,Onsite
10942,Cassandra Lane,62,M,,157-736-7438x622,delhi,Finance,131368,2019-05-24,11.0,Poor,99999.0,Chennai,7.0,onsite
11346,Jamie Le,20,female,brooke82@ford.com,+1-063-435-4411x3017,delhi,,144001,2016-10-27,3.0,5,10092.0,Chennai,29.0,Hybrid
10197,Randall Washington,56,F,valeriemartin@riley.com,0777071999,Chennai,Finance,51801,2023-01-16,2.0,1,10042.0,Hyderabad,11.0,
18307,Frank Mooney,43,F,terriprice@garrett.net,0633160180,Bangalor,IT ,94925,2024-02-29,19.0,,10021.0,Hyderabad,29.0,Onsite
17345,Julia Garcia,57,,shawsamuel@rivera.biz,,Mmbai,Sales,57381,2024-10-25,18.0,Good,,Hyderabad,28.0,Hybrid
14448,Carol Brown,46,Unknown,bhenry@brown.net,(997)312-0227,Mumbai,IT,49084,2025-02-26,14.0,3,10000.0,Mmbai,25.0,
18869,Phillip Obrien,19,male,owoods@collins-williams.com,232.186.0156,,Operations,83744,2016-05-24,6.0,4,10077.0,Mumbai,10.0,Remote
17459,Scott Bates Jr.,62,Male,fordgerald@yahoo.com,+1-103-135-1436,mumbai,HR,44204,2024-11-26,12.0,1,10016.0,Mmbai,10.0,Remote
17728,Dillon Jensen,32,Male,billy03@taylor-alvarez.net,001-136-177-6788x210,Mumbai,IT,44115,2022-08-13,14.0,4,10082.0,,24.0,remote
17894,Theresa Hughes,21,Female,adam23@yahoo.com,(167)291-4786x664,Mmbai,IT,133280,2020-11-20,3.0,Excellent,10045.0,Bangalor,7.0,Remote
12386,Ashley Lawson,48,F,barnettsamuel@yahoo.com,001-654-752-8331x02922,,hr,142360,2020-05-01,3.0,Good,10013.0,Mmbai,4.0,remote
12798,Fred Hernandez,25,,ttate@williams.com,001-507-449-3194,Chennai,Finance,40658,2018-07-10,17.0,2,10042.0,Mmbai,15.0,Hybrid
14370,Rebecca Cooper,22,Female,sabrinaguerra@hotmail.com,206.286.3495,Hyderabad,,56391,2024-03-31,15.0,Poor,10012.0,Mumbai,13.0,
14822,Curtis Harris,47,female,theresa25@mcgrath.org,+1-857-199-5565,Delhi,IT,50289,2022-06-21,11.0,1,10003.0,Delhi,11.0,onsite
10001,Heather Taylor DVM,57,M,christine42@johnson-byrd.com,(559)225-8231,Hyderabad,Finance,₹125315,2020-06-22,30.0,5,10060.0,,11.0,onsite
17521,Lorraine Stephenson,30,Female,qbowers@campbell.info,400.840.0258x0719,delhi,IT,64267,2023-03-05,18.0,,10009.0,,3.0,Hybrid
11784,Stephanie Bishop,33,,danielmcmillan@grant.com,979.798.6810x118,delhi,Operations,₹175543,,18.0,Excellent,10029.0,,25.0,Onsite
10944,Lisa Scott,44,F,coxalicia@yahoo.com,889-897-9883,Mmbai,Finance,88242,2021-10-10,11.0,Good,10059.0,Bangalor,26.0,remote
19205,Jenna Cooper,60,female,reedchristian@jensen.com,420-773-2880x87142,delhi,Finance,64729,2017-02-27,3.0,2,10038.0,Bangalore,22.0,
15620,Vincent Rodriguez,56,Female,timothybrewer@hotmail.com,786-792-6886,Bangalore,Finance,53406,2019-05-14,0.0,5,10064.0,Delhi,15.0,onsite
11534,Justin Chambers,31,Male,fscott@yahoo.com,686-682-0385,Bangalor,IT,,2021-06-22,8.0,Good,10026.0,,24.0,Onsite
16110,Angela Cohen,50,female,nfranklin@hotmail.com,(557)035-5101x89176,Mmbai,HR,88572,2016-12-23,18.0,Good,10002.0,Chennai,1.0,Remote
19961,Matthew Phillips,32,Female,guzmantyler@brooks.com,001-695-182-9780x60216,Chennai,Finance,83843,2018-02-21,17.0,Good,10085.0,Bangalor,,
13728,Paul Montgomery,26,M,helenperez@hotmail.com,(356)995-8044x44592,delhi,,124554,2024-07-01,20.0,Good,10043.0,Chennai,24.0,Remote
17890,Jessica Lindsey,42,male,ubean@gmail.com,001-008-582-0187,delhi,HR,91429,2021-08-25,3.0,2,,Delhi,1.0,Remote
17604,David Barry,25,Unknown,chandleramanda@chang.com,,delhi,hr,78790,2022-09-23,13.0,1,10094.0,Bangalore,20.0,onsite
11528,Donald White,35,Female,vreyes@hotmail.com,(554)011-2536x358,Mumbai,hr,56361,2017-06-11,19.0,5,10099.0,Mumbai,29.0,Hybrid
17686,Elizabeth Lewis,45,,brian24@yahoo.com,+1-667-412-0812x30616,Bangalor,sales,108735,2021-04-24,0.0,Good,99999.0,Hyderabad,20.0,remote
10656,Carrie Stewart,51,F,timevans@gmail.com,808.550.6489,Bangalore,IT ,136322,2021-09-25,18.0,Good,10049.0,Bangalore,9.0,Remote
19731,Amy Clay,24,M,kentjeffery@yahoo.com,958.627.6794x202,Bangalor,IT,70645,2019-01-06,14.0,3,10034.0,Chennai,16.0,
11603,Jeffrey Murphy,31,,jasmineharris@blanchard-davis.com,001-689-514-2009x8318,Chennai,,67655,2018-06-28,14.0,,10070.0,Bangalor,6.0,
16336,Jordan Byrd,24,M,pferguson@gmail.com,341.679.6308x44119,Hyderabad,Finance,114076,2021-12-25,3.0,,10018.0,Mumbai,1.0,Onsite
19161,Michael Evans,38,female,tjohnson@drake.org,+1-754-688-2051x9586,delhi,,66554,2021-07-04,,2,10020.0,Bangalore,29.0,remote
11840,Stephanie Carpenter,56,Male,andrewrandolph@holland.com,001-609-800-5244x040,Bangalore,,71210,,1.0,5,10083.0,Bangalor,23.0,
16187,Courtney Sanchez,55,Female,troymorales@johnson.com,9349575477,Hyderabad,HR,44310.58,2018-06-19,-1.0,1,10036.0,Mmbai,10.0,onsite
14878,Katelyn Chen,,Male,heather51@smith.com,+1-342-140-5844,Bangalor,,48199,2019-08-30,17.0,,10001.0,Bangalore,11.0,Remote
17215,Bryan Williams,60,female,bruce16@hotmail.com,001-546-641-8563x296,Bangalore,,104708,2024-12-06,3.0,5,10061.0,Mmbai,29.0,Onsite
17923,Keith Dickerson,55,Female,gscott@austin-henderson.biz,840-183-6821x590,mumbai,Sales,32185,2020-07-06,17.0,3,10073.0,Bangalore,12.0,
19761,Edwin Perez,64,,quinnmary@yahoo.com,8725914150,Mmbai,,127031,2018-07-25,3.0,5,10039.0,Bangalore,7.0,onsite
12375,Tyler Jenkins,60,male,andrew33@hotmail.com,055.783.2752x136,Bangalore,Marketing,64408,2018-01-15,19.0,3,10095.0,Mmbai,13.0,onsite
19734,Larry Gonzalez,28,Female,rochasamuel@shaffer.com,976-639-7328,Hyderabad,sales,86866,2024-01-02,0.0,,10058.0,Bangalore,,onsite
19745,Jocelyn Johnson,50,Unknown,todd53@hotmail.com,001-402-642-7357,mumbai,Operations,80033,2018-11-03,14.0,4,10096.0,,5.0,remote
14314,Tracey Schaefer PhD,33,M,baileyheather@yahoo.com,(279)049-6137x2682,Mmbai,Marketing,121845,2017-02-03,2.0,5,10063.0,Bangalore,16.0,Onsite
17297,Denise Pena,48,Unknown,mary11@peterson-smith.info,(714)962-8890,,Operations,131700,2022-06-25,11.0,Poor,10063.0,Hyderabad,16.0,remote
16379,Kyle Dickson,18,male,hayesrebecca@gmail.com,479.067.4784x177,Mmbai,Financ,147953,2021-02-21,16.0,Good,10002.0,Chennai,12.0,Hybrid
13553,David Johnson,150,Male,victorialong@gmail.com,,Mumbai,Operations,41990,2022-04-16,5.0,4,10038.0,Bangalore,22.0,
16037,Joseph Stewart,60,M,kevin68@carter.info,808.230.4680,Bangalore,hr,100337,2019-01-13,14.0,Excellent,10030.0,Mumbai,25.0,onsite
